PLC_MAC_address,Serial Number,Enet_MAC_Address,comment,Shift,dateMGF,Base_PN,issue_mod,mfg_Location,developer_features,PIB_PN,base_PN_at_MFG,Config_Issue_at_MFG,HW_product_name_Part1,HW_product_name_Part2,Timestamp
0C73EBAA0000,25041100194,0C73EBAB0000,MAC ethernet not used on any devices - skipped group to keep in sync,,,,,,,,,,,,
0C73EBAA0001,25041100196,0C73EBAB0001,,,,,,,,,,,,,
0C73EBAA0002,25041100198,0C73EBAB0002,,,,,,,,,,,,,
0C73EBAA0003,25041100081,0C73EBAB0003,,,,,,,,,,,,,
0C73EBAA0004,25041100159,0C73EBAB0004,,,,,,,,,,,,,
0C73EBAA0005,25041100138,0C73EBAB0005,,,,,,,,,,,,,
0C73EBAA0006,25041100178,0C73EBAB0006,,,,,,,,,,,,,
0C73EBAA0007,25041100191,0C73EBAB0007,,,,,,,,,,,,,
0C73EBAA0008,25041100047,0C73EBAB0008,,,,,,,,,,,,,
0C73EBAA0009,25041100167,0C73EBAB0009,,,,,,,,,,,,,
0C73EBAA000A,25041100043,0C73EBAB000A,,,,,,,,,,,,,
0C73EBAA000B,25041100108,0C73EBAB000B,,,,,,,,,,,,,
0C73EBAA000C,25041100055,0C73EBAB000C,,,,,,,,,,,,,
0C73EBAA000D,25041100105,0C73EBAB000D,,,,,,,,,,,,,
0C73EBAA000E,25041100062,0C73EBAB000E,,,,,,,,,,,,,
0C73EBAA000F,25041100142,0C73EBAB000F,,,,,,,,,,,,,
0C73EBAA0010,25041100032,0C73EBAB0010,,,,,,,,,,,,,
0C73EBAA0011,25041100116,0C73EBAB0011,,,,,,,,,,,,,
0C73EBAA0012,25041100065,0C73EBAB0012,,,,,,,,,,,,,
0C73EBAA0013,25041100102,0C73EBAB0013,,,,,,,,,,,,,
0C73EBAA0014,25041100166,0C73EBAB0014,,,,,,,,,,,,,
0C73EBAA0015,25041100167,0C73EBAB0015,,,,,,,,,,,,,
0C73EBAA0016,25041100119,0C73EBAB0016,,,,,,,,,,,,,
0C73EBAA0017,25041100104,0C73EBAB0017,,,,,,,,,,,,,
0C73EBAA0018,25041100121,0C73EBAB0018,,,,,,,,,,,,,
0C73EBAA0019,25041100168,0C73EBAB0019,,,,,,,,,,,,,
0C73EBAA001A,25041100153,0C73EBAB001A,,,,,,,,,,,,,
0C73EBAA001B,25041100044,0C73EBAB001B,,,,,,,,,,,,,
0C73EBAA001C,25041100108,0C73EBAB001C,,,,,,,,,,,,,
0C73EBAA001D,25041100145,0C73EBAB001D,,,,,,,,,,,,,
0C73EBAA001E,25041100201,0C73EBAB001E,,,,,,,,,,,,,
0C73EBAA001F,25041100195,0C73EBAB001F,,,,,,,,,,,,,
0C73EBAA0020,25041100124,0C73EBAB0020,,,,,,,,,,,,,
0C73EBAA0021,25041100088,0C73EBAB0021,,,,,,,,,,,,,
0C73EBAA0022,25041100140,0C73EBAB0022,,,,,,,,,,,,,
0C73EBAA0023,25041100251,0C73EBAB0023,,,,,,,,,,,,,
0C73EBAA0024,25041100111,0C73EBAB0024,,,,,,,,,,,,,
0C73EBAA0025,25041100094,0C73EBAB0025,,,,,,,,,,,,,
0C73EBAA0026,25041100046,0C73EBAB0026,,,,,,,,,,,,,
0C73EBAA0027,25041100193,0C73EBAB0027,,,,,,,,,,,,,
0C73EBAA0028,25041100033,0C73EBAB0028,,,,,,,,,,,,,
0C73EBAA0029,25041100150,0C73EBAB0029,,,,,,,,,,,,,
0C73EBAA002A,25041100139,0C73EBAB002A,,,,,,,,,,,,,
0C73EBAA002B,25041100123,0C73EBAB002B,,,,,,,,,,,,,
0C73EBAA002C,25041100021,0C73EBAB002C,,,,,,,,,,,,,
0C73EBAA002D,25041100122,0C73EBAB002D,,,,,,,,,,,,,
0C73EBAA002E,25041100202,0C73EBAB002E,,,,,,,,,,,,,
0C73EBAA002F,25041100060,0C73EBAB002F,,,,,,,,,,,,,
0C73EBAA0030,25041100024,0C73EBAB0030,,,,,,,,,,,,,
0C73EBAA0031,25041100061,0C73EBAB0031,,,,,,,,,,,,,
0C73EBAA0032,25041100031,0C73EBAB0032,,,,,,,,,,,,,
0C73EBAA0033,25041100028,0C73EBAB0033,,,,,,,,,,,,,
0C73EBAA0034,25041100042,0C73EBAB0034,,,,,,,,,,,,,
0C73EBAA0035,25041100034,0C73EBAB0035,,,,,,,,,,,,,
0C73EBAA0036,25041100143,0C73EBAB0036,,,,,,,,,,,,,
0C73EBAA0037,B 05,0C73EBAB0037,,,,,,,,,,,,,
0C73EBAA0038,25041100148,0C73EBAB0038,,,,,,,,,,,,,
0C73EBAA0039,25041100158,0C73EBAB0039,,,,,,,,,,,,,
0C73EBAA003A,25041100115,0C73EBAB003A,,,,,,,,,,,,,
0C73EBAA003B,25041100072,0C73EBAB003B,,,,,,,,,,,,,
0C73EBAA003C,25041100151,0C73EBAB003C,,,,,,,,,,,,,
0C73EBAA003D,25041100068,0C73EBAB003D,,,,,,,,,,,,,
0C73EBAA003E,25041100110,0C73EBAB003E,,,,,,,,,,,,,
0C73EBAA003F,25041100144,0C73EBAB003F,,,,,,,,,,,,,
0C73EBAA0040,25041100058,0C73EBAB0040,,,,,,,,,,,,,
0C73EBAA0041,25041100197,0C73EBAB0041,,,,,,,,,,,,,
0C73EBAA0042,25041100018,0C73EBAB0042,,,,,,,,,,,,,
0C73EBAA0043,25041100020,0C73EBAB0043,,,,,,,,,,,,,
0C73EBAA0044,25041100189,0C73EBAB0044,,,,,,,,,,,,,
0C73EBAA0045,25041100190,0C73EBAB0045,,,,,,,,,,,,,
0C73EBAA0046,25041100175,0C73EBAB0046,,,,,,,,,,,,,
0C73EBAA0047,25041100174,0C73EBAB0047,,,,,,,,,,,,,
0C73EBAA0048,25041100015,0C73EBAB0048,,,,,,,,,,,,,
0C73EBAA0049,25041100163,0C73EBAB0049,,,,,,,,,,,,,
0C73EBAA004A,25041100092,0C73EBAB004A,,,,,,,,,,,,,
0C73EBAA004B,25041100059,0C73EBAB004B,,,,,,,,,,,,,
0C73EBAA004C,25041100162,0C73EBAB004C,,,,,,,,,,,,,
0C73EBAA004D,25041100041,0C73EBAB004D,,,,,,,,,,,,,
0C73EBAA004E,25041100205,0C73EBAB004E,,,,,,,,,,,,,
0C73EBAA004F,25041100185,0C73EBAB004F,,,,,,,,,,,,,
0C73EBAA0050,25041100192,0C73EBAB0050,,,,,,,,,,,,,
0C73EBAA0051,25041100017,0C73EBAB0051,,,,,,,,,,,,,
0C73EBAA0052,25041100019,0C73EBAB0052,,,,,,,,,,,,,
0C73EBAA0053,25041100073,0C73EBAB0053,,,,,,,,,,,,,
0C73EBAA0054,25041100040,0C73EBAB0054,,,,,,,,,,,,,
0C73EBAA0055,25041100087,0C73EBAB0055,,,,,,,,,,,,,
0C73EBAA0056,25041100085,0C73EBAB0056,,,,,,,,,,,,,
0C73EBAA0057,25041100106,0C73EBAB0057,,,,,,,,,,,,,
0C73EBAA0058,25041100070,0C73EBAB0058,,,,,,,,,,,,,
0C73EBAA0059,25041100114,0C73EBAB0059,,,,,,,,,,,,,
0C73EBAA005A,25041100045,0C73EBAB005A,,,,,,,,,,,,,
0C73EBAA005B,25041100023,0C73EBAB005B,,,,,,,,,,,,,
0C73EBAA005C,25041100049,0C73EBAB005C,,,,,,,,,,,,,
0C73EBAA005D,25041100069,0C73EBAB005D,,,,,,,,,,,,,
0C73EBAA005E,25041100206,0C73EBAB005E,,,,,,,,,,,,,
